Cabai_g,Tomat_g,Minyak_ml,Spiciness,RecommendedSaltGram
7.6,6.9,22.6,20.0,1.4
78.0,35.7,1.8,90.0,2.8
43.8,81.3,22.3,20.0,1.4
72.3,42.8,28.4,20.0,1.4
97.8,60.0,18.1,20.0,1.4
53.8,72.8,8.6,36.44,1.73
50.1,82.1,20.2,20.0,1.4
7.2,76.1,21.4,20.0,1.4
26.8,0.7,19.7,20.0,1.4
50.0,42.0,4.4,90.0,2.8
67.9,46.3,29.2,20.0,1.4
80.4,5.5,28.7,49.71,1.99
38.1,54.1,12.7,43.47,1.87
6.6,60.8,17.8,20.0,1.4
28.8,82.8,1.2,20.0,1.4
91.0,94.2,29.7,20.0,1.4
21.3,12.8,24.6,20.0,1.4
45.2,23.0,19.1,40.72,1.81
93.1,65.9,22.8,20.0,1.4
2.5,13.2,5.6,20.0,1.4
60.1,22.4,9.2,90.0,2.8
95.0,57.5,7.4,64.39,2.29
23.0,17.0,17.9,20.0,1.4
54.8,78.2,2.8,41.3,1.83
90.9,85.7,26.9,20.0,1.4
13.3,3.4,13.9,20.0,1.4
52.3,53.3,13.3,20.0,1.4
75.0,79.7,3.1,54.68,2.09
66.9,97.5,20.5,20.0,1.4
46.8,27.4,24.5,32.35,1.65
20.5,16.9,18.9,20.0,1.4
49.1,87.7,7.3,31.72,1.63
37.2,90.9,23.6,20.0,1.4
47.7,19.8,4.4,90.0,2.8
36.6,44.2,24.8,35.19,1.7
83.8,71.9,17.4,20.0,1.4
76.9,84.5,8.7,31.1,1.62
31.4,16.8,15.4,20.0,1.4
57.3,66.5,18.9,20.0,1.4
27.6,80.8,7.8,20.0,1.4
45.3,55.0,25.4,27.59,1.55
35.3,16.5,12.6,0.0,1.0
65.7,3.6,26.8,44.68,1.89
37.0,28.2,25.1,31.35,1.63
45.9,80.8,3.0,29.64,1.59
71.9,4.5,19.4,65.11,2.3
41.3,0.8,9.3,90.0,2.8
90.6,36.2,22.6,20.0,1.4
18.0,6.4,16.3,20.0,1.4
74.1,14.9,13.7,90.0,2.8
42.2,2.3,26.9,23.09,1.46
42.6,52.5,1.7,50.5,2.01
63.4,69.7,16.7,20.0,1.4
52.3,42.7,9.8,90.0,2.8
41.5,13.5,1.1,90.0,2.8
0.1,33.1,22.6,20.0,1.4
9.2,59.0,16.9,20.0,1.4
70.9,94.1,26.8,20.0,1.4
52.4,99.3,17.9,20.0,1.4
69.6,24.2,10.1,90.0,2.8
95.5,1.1,29.6,54.11,2.08
68.3,83.1,3.5,49.12,1.98
5.3,92.7,1.6,20.0,1.4
30.9,45.9,22.0,38.05,1.76
59.3,77.1,11.1,20.0,1.4
23.5,86.6,10.8,20.0,1.4
96.5,61.0,26.3,20.0,1.4
94.5,87.3,9.8,21.83,1.44
84.8,2.4,26.7,54.24,2.08
47.2,27.2,19.3,40.64,1.81
84.1,27.7,9.9,90.0,2.8
13.1,12.1,1.8,20.0,1.4
30.9,91.1,7.4,20.0,1.4
46.3,3.0,29.1,27.03,1.54
74.2,67.3,12.2,20.0,1.4
48.6,7.1,4.8,90.0,2.8
13.7,36.1,8.9,31.1,1.62
34.4,41.8,27.0,34.81,1.7
32.4,18.1,4.9,0.0,1.0
30.0,52.1,23.3,32.5,1.65
16.6,53.5,4.0,39.7,1.79
41.5,31.7,28.8,29.48,1.59
44.8,73.7,15.9,20.0,1.4
77.5,16.0,1.3,90.0,2.8
79.6,19.3,27.9,40.52,1.81
52.2,35.5,10.7,0.0,1.0
46.1,37.8,21.9,28.93,1.58
77.8,20.6,15.7,80.93,2.62
88.7,91.9,2.8,52.35,2.05
67.5,82.8,3.2,48.79,1.98
80.0,10.7,4.5,90.0,2.8
93.9,36.9,4.8,90.0,2.8
4.1,23.3,1.6,20.0,1.4
87.6,45.1,1.4,90.0,2.8
27.7,27.6,28.5,28.91,1.58
47.6,50.2,2.7,69.73,2.39
79.7,92.3,15.3,20.0,1.4
71.7,38.3,3.6,90.0,2.8
14.7,65.0,6.4,20.0,1.4
65.9,59.6,22.9,20.0,1.4
